nct_id,diverse
NCT01150357,Non-race specific
NCT01151410,Non-race specific
NCT01152580,Non-race specific
NCT01152957,Hispanic
NCT01153386,Non-race specific
NCT01155011,Non-race specific
NCT01155050,Non-race specific
NCT01156974,Non-race specific
NCT01157234,Non-race specific
NCT01157364,Non-race specific
NCT01159314,Non-race specific
NCT01161706,Non-race specific
NCT01162759,Non-race specific
NCT01165047,Non-race specific
NCT01165476,Non-race specific
NCT01167920,Non-race specific
NCT01168947,Non-race specific
NCT01170884,Non-race specific
NCT01172496,Non-race specific
NCT01174173,Non-race specific
NCT01176565,Non-race specific
NCT01177098,Non-race specific
NCT01178073,Non-race specific
NCT01179334,Non-race specific
NCT01179737,Non-race specific
NCT01180062,Non-race specific
NCT01180673,Non-race specific
NCT01184755,Non-race specific
NCT01185041,Non-race specific
NCT01185067,Non-race specific
NCT01190319,Non-race specific
NCT01192412,Non-race specific
NCT01195662,Non-race specific
NCT01196533,Non-race specific
NCT01200043,Non-race specific
NCT01200849,Non-race specific
NCT01202110,Non-race specific
NCT01202175,Non-race specific
NCT01203852,Non-race specific
NCT01205594,Non-race specific
NCT01206062,Non-race specific
NCT01206439,Non-race specific
NCT01212861,Non-race specific
NCT01212874,Non-race specific
NCT01215019,Non-race specific
NCT01215786,Non-race specific
NCT01216852,Non-race specific
NCT01216878,Non-race specific
NCT01218100,Non-race specific
NCT01220336,Non-race specific
NCT01223352,Non-race specific
NCT01223378,Non-race specific
NCT01224210,Non-race specific
NCT01228032,Non-race specific
NCT01230255,Non-race specific
NCT01234922,Non-race specific
NCT01235377,Non-race specific
NCT01235702,African American
NCT01235910,Non-race specific
NCT01236339,Non-race specific
NCT01240512,Non-race specific
NCT01241942,Non-race specific
NCT01242462,Non-race specific
NCT01244152,African American
NCT01247090,Non-race specific
NCT01248234,Non-race specific
NCT01252303,Non-race specific
NCT01253902,Non-race specific
NCT01254370,Non-race specific
NCT01257347,Non-race specific
NCT01258764,Non-race specific
NCT01260272,Non-race specific
NCT01260454,Non-race specific
NCT01261884,Non-race specific
NCT01263197,Non-race specific
NCT01263223,Non-race specific
NCT01263743,Non-race specific
NCT01265888,Non-race specific
NCT01267227,Non-race specific
NCT01268553,Non-race specific
NCT01270061,African American
NCT01271374,African American
NCT01271686,Non-race specific
NCT01272388,Non-race specific
NCT01274481,Non-race specific
NCT01275339,Non-race specific
NCT01275352,Non-race specific
NCT01276197,Non-race specific
NCT01279083,Non-race specific
NCT01280903,Non-race specific
NCT01280994,Non-race specific
NCT01281306,Non-race specific
NCT01282346,Non-race specific
NCT01282957,Non-race specific
NCT01285908,Non-race specific
NCT01286311,Non-race specific
NCT01287026,Non-race specific
NCT01291108,Non-race specific
NCT01292694,Non-race specific
NCT01296594,Non-race specific
NCT01300338,Non-race specific
NCT01301378,Non-race specific
NCT01302249,Non-race specific
NCT01302444,Non-race specific
NCT01303783,Non-race specific
NCT01303939,Non-race specific
NCT01305252,Non-race specific
NCT01306292,Non-race specific
NCT01307280,Non-race specific
NCT01310153,Non-race specific
NCT01315574,Non-race specific
NCT01317329,Non-race specific
NCT01317537,Non-race specific
NCT01318278,Non-race specific
NCT01319045,Non-race specific
NCT01319617,Non-race specific
NCT01320722,Non-race specific
NCT01321073,Non-race specific
NCT01324245,Non-race specific
NCT01324388,Non-race specific
NCT01324999,Non-race specific
NCT01325870,Non-race specific
NCT01328769,Non-race specific
NCT01330108,Non-race specific
NCT01330979,Non-race specific
NCT01331486,Non-race specific
NCT01332331,Non-race specific
NCT01336569,Non-race specific
NCT01338415,Non-race specific
NCT01338636,Non-race specific
NCT01339390,Non-race specific
NCT01341145,Non-race specific
NCT01342952,Non-race specific
NCT01345448,Non-race specific
NCT01348880,Non-race specific
NCT01349114,Non-race specific
NCT01351753,Non-race specific
NCT01352390,Non-race specific
NCT01354613,Non-race specific
NCT01360476,African American
NCT01363141,Non-race specific
NCT01364207,Non-race specific
NCT01368536,Non-race specific
NCT01370005,Non-race specific
NCT01370512,Non-race specific
NCT01371370,Non-race specific
NCT01373086,Non-race specific
NCT01378780,Non-race specific
NCT01387945,Non-race specific
NCT01389037,African American
NCT01389856,Non-race specific
NCT01390272,Non-race specific
NCT01390779,Non-race specific
NCT01392469,Non-race specific
NCT01392495,Non-race specific
NCT01395277,Non-race specific
NCT01395329,Non-race specific
NCT01398423,Non-race specific
NCT01399138,Non-race specific
NCT01399489,Non-race specific
NCT01400256,Non-race specific
NCT01401621,Non-race specific
NCT01402453,Non-race specific
NCT01403922,Non-race specific
NCT01404897,Non-race specific
NCT01404910,Non-race specific
NCT01405638,African American
NCT01407809,Non-race specific
NCT01408472,Non-race specific
NCT01409031,Non-race specific
NCT01409122,Non-race specific
NCT01409421,Non-race specific
NCT01410188,Non-race specific
NCT01413542,Non-race specific
NCT01415505,Non-race specific
NCT01415531,Non-race specific
NCT01416415,Non-race specific
NCT01416766,Non-race specific
NCT01417104,Non-race specific
NCT01418261,Non-race specific
NCT01421771,Non-race specific
NCT01425515,Non-race specific
NCT01426113,Non-race specific
NCT01426464,Non-race specific
NCT01426529,Non-race specific
NCT01428791,Non-race specific
NCT01431313,Non-race specific
NCT01432106,African American
NCT01434953,Non-race specific
